;Model;Imputation;Loss;Layers;Attn. heads;FFT;Recurrent embeddings;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
194;Transformer:encoder;ARIMA;BCE;1;2;-;+;1.01±0.59;1.20±0.18;9.77±2.42;0.29±0.03;0.85±0.06
195;Transformer:encoder;ARIMA;MSE(logit);1;2;-;-;1.17±0.55;1.25±0.19;1.37±0.16;0.32±0.04;0.81±0.05
196;Transformer:encoder;ARIMA;BCE;1;2;-;-;1.34±0.37;1.45±0.11;7.49±4.18;0.29±0.02;0.84±0.03
197;Transformer:encoder;ARIMA;MSE(logit);1;4;-;+;2.08±0.73;1.53±0.24;1.14±0.08;0.31±0.04;0.74±0.07
198;Transformer:encoder;ARIMA;BCE;1;4;-;+;1.36±0.41;1.44±0.24;8.82±5.09;0.30±0.01;0.81±0.03
199;Transformer:encoder;ARIMA;MSE(logit);1;4;-;-;1.59±0.41;1.41±0.16;1.21±0.10;0.31±0.03;0.79±0.04
200;Transformer:encoder;ARIMA;BCE;1;4;-;-;1.35±0.46;1.33±0.12;10.27±2.82;0.31±0.02;0.82±0.05
201;Transformer:encoder;ARIMA;MSE(logit);2;1;-;+;1.70±0.53;1.54±0.23;1.48±0.38;0.33±0.02;0.77±0.05
202;Transformer:encoder;ARIMA;BCE;2;1;-;+;1.33±0.57;1.44±0.21;5.52±2.16;0.30±0.03;0.83±0.05
203;Transformer:encoder;ARIMA;MSE(logit);2;1;-;-;1.72±0.99;1.39±0.24;1.36±0.16;0.33±0.04;0.77±0.07
204;Transformer:encoder;ARIMA;BCE;2;1;-;-;1.69±0.67;1.42±0.11;7.03±2.51;0.31±0.02;0.77±0.08
205;Transformer:encoder;ARIMA;MSE(logit);2;2;-;+;2.17±0.42;1.59±0.10;1.16±0.07;0.35±0.03;0.72±0.05
206;Transformer:encoder;ARIMA;BCE;2;2;-;+;1.17±0.30;1.33±0.15;6.51±3.28;0.28±0.02;0.83±0.03
207;Transformer:encoder;ARIMA;MSE(logit);2;2;-;-;1.93±1.17;1.61±0.42;1.45±0.19;0.31±0.02;0.76±0.07
208;Transformer:encoder;ARIMA;BCE;2;2;-;-;1.90±0.90;1.50±0.36;7.16±2.52;0.32±0.04;0.76±0.10
209;Transformer:encoder;ARIMA;MSE(logit);2;4;-;+;2.62±0.69;1.65±0.18;1.34±0.15;0.37±0.03;0.60±0.07
210;Transformer:encoder;ARIMA;BCE;2;4;-;+;1.91±0.43;1.64±0.28;8.38±5.63;0.31±0.03;0.75±0.05
211;Transformer:encoder;ARIMA;MSE(logit);2;4;-;-;1.65±0.42;1.56±0.22;1.26±0.23;0.35±0.04;0.79±0.04
212;Transformer:encoder;ARIMA;BCE;2;4;-;-;1.26±0.33;1.43±0.14;7.09±3.06;0.28±0.03;0.82±0.03
213;Transformer:encoder;ARIMA;MSE(logit);3;1;-;+;1.16±0.36;1.25±0.10;1.21±0.13;0.32±0.02;0.81±0.04
214;Transformer:encoder;ARIMA;BCE;3;1;-;+;1.81±0.47;1.47±0.24;6.81±2.72;0.32±0.03;0.76±0.05
215;Transformer:encoder;ARIMA;MSE(logit);3;1;-;-;1.72±0.81;1.62±0.52;1.53±0.48;0.37±0.11;0.78±0.09
216;Transformer:encoder;ARIMA;BCE;3;1;-;-;1.52±0.69;1.53±0.37;7.38±2.11;0.29±0.02;0.80±0.05
217;Transformer:encoder;ARIMA;MSE(logit);3;2;-;+;1.45±0.40;1.39±0.16;1.67±0.33;0.32±0.04;0.79±0.04
218;Transformer:encoder;ARIMA;BCE;3;2;-;+;1.56±0.75;1.58±0.41;9.16±8.66;0.30±0.03;0.80±0.06
219;Transformer:encoder;ARIMA;MSE(logit);3;2;-;-;1.30±0.00;1.14±0.00;1.47±0.00;0.30±0.00;0.82±0.00
