;Model;Imputation;Loss;Layers;Attn. heads;FFT;Recurrent embeddings;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
38;Transformer:encoder;Forward fill;MSE(logit);4;1;+;-;5.16±1.71;3.24±0.55;10.54±11.46;0.62±0.04;0.24±0.06
39;Transformer:encoder;Forward fill;BCE;4;1;+;-;3.78±1.04;3.06±0.46;27.06±10.96;0.57±0.05;0.37±0.04
40;Transformer:encoder;Forward fill;MSE(logit);4;2;+;+;2.82±0.97;1.68±0.23;1.17±0.10;0.35±0.05;0.62±0.09
41;Transformer:encoder;Forward fill;BCE;4;2;+;+;1.03±0.21;1.33±0.14;7.41±1.35;0.30±0.02;0.84±0.03
42;Transformer:encoder;Forward fill;MSE(logit);4;2;+;-;5.10±1.73;2.94±0.47;9.61±6.62;0.66±0.06;0.28±0.18
43;Transformer:encoder;Forward fill;BCE;4;2;+;-;5.52±1.25;3.71±0.45;46.39±31.38;0.62±0.07;0.20±0.12
44;Transformer:encoder;Forward fill;MSE(logit);4;4;+;+;112.40±3.00;32.89±0.56;467.51±67.11;3.38±0.12;-17.69±4.11
45;Transformer:encoder;Forward fill;BCE;4;4;+;+;1.96±1.54;1.95±1.06;19.35±32.26;0.32±0.12;0.71±0.29
46;Transformer:encoder;Forward fill;MSE(logit);4;4;+;-;4.95±1.32;3.01±0.44;4.65±1.97;0.66±0.05;0.34±0.06
47;Transformer:encoder;Forward fill;BCE;4;4;+;-;5.52±1.43;3.69±0.44;37.92±33.77;0.65±0.10;0.25±0.15
48;Transformer:encoder;Interpolation;MSE(logit);1;1;+;+;1.71±0.64;1.51±0.24;0.96±0.13;0.33±0.01;0.75±0.11
49;Transformer:encoder;Interpolation;BCE;1;1;+;+;1.27±0.41;1.46±0.30;13.12±11.63;0.30±0.03;0.84±0.03
50;Transformer:encoder;Interpolation;MSE(logit);1;1;+;-;5.42±1.41;3.09±0.53;3.56±0.47;0.65±0.09;0.26±0.15
51;Transformer:encoder;Interpolation;BCE;1;1;+;-;6.69±2.37;4.42±0.82;55.59±29.87;0.53±0.04;0.18±0.16
52;Transformer:encoder;Interpolation;MSE(logit);1;2;+;+;3.91±1.35;2.17±0.45;1.23±0.21;0.38±0.05;0.52±0.15
53;Transformer:encoder;Interpolation;BCE;1;2;+;+;1.07±0.40;1.34±0.23;9.12±7.63;0.29±0.05;0.85±0.05
54;Transformer:encoder;Interpolation;MSE(logit);1;2;+;-;4.91±1.22;3.08±0.40;4.63±2.56;0.68±0.12;0.19±0.11
55;Transformer:encoder;Interpolation;BCE;1;2;+;-;5.82±1.61;4.50±0.40;73.48±19.07;0.52±0.04;0.12±0.06
56;Transformer:encoder;Interpolation;MSE(logit);1;4;+;+;2.46±0.48;1.68±0.16;1.11±0.06;0.38±0.04;0.63±0.04
57;Transformer:encoder;Interpolation;BCE;1;4;+;+;1.12±0.39;1.21±0.22;10.15±4.52;0.32±0.04;0.81±0.04
58;Transformer:encoder;Interpolation;MSE(logit);1;4;+;-;5.97±0.90;3.14±0.22;2.89±1.02;0.66±0.08;0.21±0.13
59;Transformer:encoder;Interpolation;BCE;1;4;+;-;7.18±1.20;5.10±0.28;157.29±71.37;0.51±0.01;-0.00±0.00
60;Transformer:encoder;Interpolation;MSE(logit);2;1;+;+;3.66±1.14;2.11±0.40;1.07±0.11;0.39±0.05;0.58±0.08
61;Transformer:encoder;Interpolation;BCE;2;1;+;+;1.21±0.42;1.33±0.29;7.55±4.62;0.29±0.03;0.82±0.05
62;Transformer:encoder;Interpolation;MSE(logit);2;1;+;-;4.38±1.04;2.89±0.45;3.34±0.71;0.62±0.03;0.35±0.07
63;Transformer:encoder;Interpolation;BCE;2;1;+;-;4.22±0.87;3.25±0.59;24.27±7.63;0.61±0.08;0.31±0.13
64;Transformer:encoder;Interpolation;MSE(logit);2;2;+;+;2.22±1.08;1.59±0.23;1.11±0.11;0.34±0.03;0.68±0.16
65;Transformer:encoder;Interpolation;BCE;2;2;+;+;1.20±0.46;1.30±0.25;3.81±1.56;0.30±0.05;0.83±0.04
66;Transformer:encoder;Interpolation;MSE(logit);2;2;+;-;4.32±1.44;2.90±0.49;3.14±0.73;0.60±0.08;0.36±0.09
67;Transformer:encoder;Interpolation;BCE;2;2;+;-;4.37±1.40;3.44±0.47;31.59±17.69;0.57±0.03;0.35±0.10
68;Transformer:encoder;Interpolation;MSE(logit);2;4;+;+;2.16±0.90;1.56±0.23;1.23±0.13;0.37±0.02;0.68±0.13
69;Transformer:encoder;Interpolation;BCE;2;4;+;+;1.43±0.28;1.41±0.06;5.24±1.38;0.32±0.02;0.81±0.03
70;Transformer:encoder;Interpolation;MSE(logit);2;4;+;-;6.45±1.49;3.46±0.49;6.82±2.65;0.81±0.12;0.03±0.23
71;Transformer:encoder;Interpolation;BCE;2;4;+;-;4.20±1.03;2.97±0.46;25.45±6.85;0.73±0.09;0.32±0.07
72;Transformer:encoder;Interpolation;MSE(logit);3;1;+;+;1.76±0.89;1.53±0.38;1.21±0.34;0.36±0.08;0.76±0.07
73;Transformer:encoder;Interpolation;BCE;3;1;+;+;0.91±0.34;1.20±0.16;3.97±2.88;0.28±0.03;0.86±0.05
74;Transformer:encoder;Interpolation;MSE(logit);3;1;+;-;5.19±0.95;3.03±0.28;4.63±1.72;0.68±0.07;0.23±0.14
75;Transformer:encoder;Interpolation;BCE;3;1;+;-;4.80±0.54;3.55±0.23;50.16±47.81;0.66±0.05;0.25±0.11
76;Transformer:encoder;Interpolation;MSE(logit);3;2;+;+;3.48±1.64;2.02±0.48;1.21±0.08;0.39±0.07;0.51±0.20
77;Transformer:encoder;Interpolation;BCE;3;2;+;+;0.94±0.25;1.23±0.14;7.29±2.85;0.25±0.01;0.87±0.02
78;Transformer:encoder;Interpolation;MSE(logit);3;2;+;-;4.56±1.10;2.92±0.51;4.54±2.57;0.65±0.07;0.33±0.13
79;Transformer:encoder;Interpolation;BCE;3;2;+;-;5.80±1.20;4.05±0.45;35.55±22.95;0.60±0.05;0.25±0.12
80;Transformer:encoder;Interpolation;MSE(logit);3;4;+;+;2.33±0.79;1.68±0.32;1.07±0.18;0.32±0.03;0.70±0.04
81;Transformer:encoder;Interpolation;BCE;3;4;+;+;0.91±0.36;1.17±0.23;4.46±1.36;0.27±0.03;0.87±0.03
82;Transformer:encoder;Interpolation;MSE(logit);3;4;+;-;4.59±1.38;2.98±0.54;4.19±1.45;0.65±0.09;0.30±0.08
83;Transformer:encoder;Interpolation;BCE;3;4;+;-;5.80±1.71;3.74±0.82;55.00±22.26;0.59±0.07;0.19±0.15
84;Transformer:encoder;Interpolation;MSE(logit);4;1;+;+;8.08±2.56;3.98±0.95;9.69±2.58;0.89±0.01;-0.17±0.06
85;Transformer:encoder;Interpolation;BCE;4;1;+;+;0.91±0.46;1.20±0.24;4.20±1.19;0.26±0.04;0.87±0.05
86;Transformer:encoder;Interpolation;MSE(logit);4;1;+;-;7.08±2.78;3.75±0.90;6.25±2.09;0.81±0.15;0.02±0.28
87;Transformer:encoder;Interpolation;BCE;4;1;+;-;5.93±2.15;3.58±0.78;37.12±21.17;0.66±0.05;0.25±0.13
88;Transformer:encoder;Interpolation;MSE(logit);4;2;+;+;2.89±0.89;1.83±0.24;0.97±0.07;0.36±0.04;0.63±0.11
89;Transformer:encoder;Interpolation;BCE;4;2;+;+;1.03±0.45;1.26±0.25;6.66±2.96;0.31±0.05;0.85±0.03
90;Transformer:encoder;Interpolation;MSE(logit);4;2;+;-;5.65±1.66;3.22±0.60;5.64±2.72;0.67±0.08;0.27±0.07
91;Transformer:encoder;Interpolation;BCE;4;2;+;-;6.04±1.73;3.79±0.52;26.44±12.15;0.67±0.09;0.14±0.14
92;Transformer:encoder;Interpolation;MSE(logit);4;4;+;+;19.49±28.13;7.68±9.84;81.31±138.85;0.92±0.99;-1.63±3.83
93;Transformer:encoder;Model-based;MSE(logit);1;1;+;+;2.31±0.49;1.73±0.32;1.03±0.18;0.40±0.10;0.68±0.04
94;Transformer:encoder;Model-based;BCE;1;1;+;+;1.63±0.89;1.59±0.43;3.78±1.43;0.31±0.05;0.81±0.08
95;Transformer:encoder;Model-based;MSE(logit);1;1;+;-;4.52±1.69;2.87±0.64;7.49±5.39;0.74±0.06;0.20±0.15
96;Transformer:encoder;Model-based;BCE;1;1;+;-;6.42±0.68;4.50±0.47;112.95±81.72;0.53±0.04;0.08±0.18
97;Transformer:encoder;Model-based;MSE(logit);1;2;+;+;2.48±0.89;1.60±0.25;1.25±0.33;0.37±0.03;0.65±0.11
98;Transformer:encoder;Model-based;BCE;1;2;+;+;3.96±2.98;3.10±1.80;81.01±76.31;0.37±0.10;0.48±0.39
99;Transformer:encoder;Model-based;MSE(logit);1;2;+;-;6.04±1.76;3.44±0.52;3.92±0.83;0.68±0.05;0.22±0.08
100;Transformer:encoder;Model-based;BCE;1;2;+;-;5.83±0.60;4.47±0.31;135.05±31.64;0.55±0.04;0.15±0.05
101;Transformer:encoder;Model-based;MSE(logit);1;4;+;+;1.58±0.58;1.43±0.28;1.01±0.20;0.38±0.10;0.78±0.08
102;Transformer:encoder;Model-based;BCE;1;4;+;+;1.99±1.50;1.72±0.87;14.34±10.81;0.33±0.04;0.73±0.18
